fw_days_uptime,fw_number_of_users,fw_load_avg_1_min,fw_load_avg_5_min,fw_load_avg_15_min,created_at,anomaly,anomaly_score
45,1,0.81,0.53,0.31,2024-10-02 10:10:35.307,True,0.7609670882402766
39,1,0.45,0.54,0.48,2024-09-26 09:29:12.270,True,0.7589589520444326
39,1,0.23,0.44,0.45,2024-09-26 09:30:34.873,True,0.7044331243449123
44,2,0.56,0.24,0.17,2024-10-01 11:19:50.827,True,0.6911004210941614
44,2,0.05,0.11,0.13,2024-10-01 11:33:06.113,True,0.6840930613373806
38,2,0.26,0.26,0.23,2024-09-25 10:35:49.580,True,0.643076663101717
38,1,0.1,0.21,0.38,2024-09-25 15:04:17.770,True,0.6374987193626707
38,1,0.13,0.23,0.39,2024-09-25 15:03:26.547,True,0.6171465398266972
37,2,0.29,0.22,0.23,2024-09-24 13:40:14.303,True,0.6142909385109527
37,2,0.18,0.2,0.22,2024-09-24 13:41:34.253,True,0.6124573394996399
